term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,BIOL,213,BIOL 213,INTRO ECOLOGY PHYSIOLOGY,4,,06,2870,Spring_2026|BIOL 213|06|2870,FALSE,\N,"12,27",LAB,Th,9-11:45AM,available,MLSC-110,Le D,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,213,BIOL 213,INTRO ECOLOGY PHYSIOLOGY,4,,07,9195,Spring_2026|BIOL 213|07|9195,FALSE,\N,,LAB,F,9-11:45AM,available,MLSC-110,Craig C,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,213,BIOL 213,INTRO ECOLOGY PHYSIOLOGY,4,,08,9499,Spring_2026|BIOL 213|08|9499,FALSE,\N,"12,27",LAB,Tu,4-6:45PM,available,MLSC-110,Craig C,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,213,BIOL 213,INTRO ECOLOGY PHYSIOLOGY,4,,09,9590,Spring_2026|BIOL 213|09|9590,FALSE,\N,"12,27",LAB,Th,4-6:45PM,,MLSC-110,Martinez E,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,213L,BIOL 213L,INTRO ECOLOGY PHYSIOLOGY LAB,1,,01,6573,Spring_2026|BIOL 213L|01|6573,FALSE,\N,"1,12,27,287",LAB,Th,9-11:45AM,,MLSC-110,Le D,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,BIOL,260,BIOL 260,BIOSTATISTICS,3,,01A,3313,Spring_2026|BIOL 260|01A|3313,FALSE,\N,"1,27",LEC,TuTh,5-5:50PM,,HSCI-100,Wurst T,"Class instruction is: Face to Face - On Campus.Seats are reserved for the following majors: BIOL (all options) and Transfer Students. Reserved seating expires December 19, 2025.Seats are reserved for CNSM majors and pre-majors. Reserved seating will expire on January 13, 2026."
Spring_2026,BIOL,260,BIOL 260,BIOSTATISTICS,3,,03A,2674,Spring_2026|BIOL 260|03A|2674,FALSE,\N,"12,27",LAB,Tu,9-11:45AM,,HSCI-073,Codding A,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,260,BIOL 260,BIOSTATISTICS,3,,05A,2675,Spring_2026|BIOL 260|05A|2675,FALSE,\N,"12,27",LAB,W,9-11:45AM,,HSCI-073,Fees C,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,260,BIOL 260,BIOSTATISTICS,3,,07A,5425,Spring_2026|BIOL 260|07A|5425,FALSE,\N,"12,27",LAB,Th,2-4:45PM,,HSCI-073,Forrey E,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,260,BIOL 260,BIOSTATISTICS,3,,15A,9580,Spring_2026|BIOL 260|15A|9580,FALSE,\N,"12,27",LAB,F,9-11:45AM,,HSCI-073,Forrey E,Class instruction is: Face to Face - On Campus.
